TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
200900A,324100,Petroleum & coal products mfg.,12,$14870822.00
200700A,324100,Petroleum & coal products mfg.,10,$13487877.00
200800A,485410,School & employee bus transportation,14,$0.00
201300A,513330,Telecommunications Resellers,6,$7533003.00
200800A,441210,Recreational vehicle dealers (including motor home & travel trailer dealers),5,$137645.00
200900A,513330,Telecommunications Resellers,6,$3437118.00
200700A,522100,"Depository credit intermediation (including commercial banking, savings institutions, & credit unions)",33,$8721571.00
201000A,532220,Formal wear & costume rental,120,$25418735.00
200700A,541360,Geophysical surveying & mapping services,24,$4348926.00
200500A,322000,Paper mfg.,15,$12750171.00
200500A,624310,Vocational rehabilitation services,10,$7918701.00
200500A,451140,Musical instrument & supplies stores,101,$52492441.00
200500A,454113,Mail-order houses,7,$31698.00
200800A,541350,Building inspection services,52,$4344833.00
201500A,561410,Document preparation services,259,$23395744.69
201100A,621391,Offices of podiatrists,96,$22016736.98
200800A,532290,Other consumer goods rental,2352,$488230648.88
200900A,454310,Fuel dealers,61,$697703837.00
200800A,561900,"Other support services (including packaging & labeling services, & convention & trade show organizers)",99,$24794870.00
201500A,441221,Motorcycle dealers,56,$39440361.00
200600A,448110,Men's clothing stores,246,$76209749.10
201600A,561110,Office administrative services,1845,$844982699.22
200800A,325100,Basic chemical mfg.,14,$19252721.89
201100A,424100,Paper & paper products,235,$268168347.92
201700A,711300,"Promoters of performing arts, sports, & similar events",75,$5065254.00
200500A,541360,Geophysical surveying & mapping services,20,$1781124.00
201400A,221000,Utilities,1,$0.00
200800A,541360,Geophysical surveying & mapping services,26,$5531400.00
200500A,441221,Motorcycle dealers,21,$30362299.00
201400A,235410,Masonry and Stone Contractors (1997 NAICS),98,$19927640.79
201600A,484110,"General freight trucking, local",795,$158969917.00
201500A,314000,Textile product mills,658,$345384760.00
200700A,425120,Wholesale trade agents & brokers,544,$409885844.47
200900A,425110,Business to business electronic markets,42,$14736486.00
201100A,811210,Electronic & precision equipment repair & maintenance,311,$30352793.00
201100A,621310,Offices of chiropractors,593,$79978046.86
201000A,541380,Testing laboratories,59,$28217502.00
200700A,532210,Consumer electronics & appliances rental,615,$577151128.00
200600A,541990,"All other professional, scientific, & technical services",2747,$282377899.09
200800A,443111,Household appliance stores,283,$206877374.49
201100A,812920,Photofinishing,124,$6794279.00
200900A,541360,Geophysical surveying & mapping services,31,$5107655.00
201500A,221000,Utilities,1,$0.00
200700A,532220,Formal wear & costume rental,105,$27731077.00
